id,amount,date,category,description,isExpense,paymentMethod
7b23cc4f-576d-41e6-839f-839866cec577,132.52,2024-03-07,医疗,药品,True,现金
93d979b3-a9f5-4633-ae1d-55ead4915a90,225.37,2024-03-08,娱乐,电影,True,支付宝
5887ffdb-d434-4527-a775-0f5a511a0fcb,84.78,2024-03-08,住房,房租,True,银行转账
a2b124a2-4e88-4652-aff5-79611580b9df,58.66,2024-03-08,交通,出租车,True,现金
33de3e7f-04b7-4cad-98df-7a3e5ee8441a,113.25,2024-03-08,交通,出租车,True,微信
bdbb97bd-6bb8-43d3-ace1-534ce160bfd8,149.45,2024-03-08,住房,房租,True,支付宝
7f11857b-c7f9-4898-bee3-d9cff57a1f80,82.47,2024-03-09,交通,出租车,True,支付宝
a3d85e89-e600-4f45-a2e4-ec9508bb9ede,32.01,2024-03-09,交通,出租车,True,支付宝
9edec58b-a12c-41f9-9c13-ac197aec0973,7647.43,2024-03-09,收入,工资,False,现金
d73fc1c6-0953-4638-82d4-61de216ebdd9,187.37,2024-03-09,娱乐,电影,True,微信
e96e99fa-4b65-4608-98e7-837898d3fc77,101.52,2024-03-10,住房,房租,True,银行转账
90110d8e-a3d1-49a0-bfac-e933f2f2bca6,240.58,2024-03-10,餐饮,早餐,True,微信
ac034e6c-8b64-478d-9bf5-2e1f5654b3f3,4248.65,2024-03-10,收入,工资,False,现金
e5bdf3b5-ba1b-4900-a812-2cbd7bbc41e5,22.58,2024-03-10,餐饮,早餐,True,现金
8f33215e-aea9-488d-9b24-f78d8aeeb9c6,40.05,2024-03-11,餐饮,早餐,True,支付宝
f3c8bfe2-107c-474e-9ba6-effac478ab67,64.92,2024-03-11,交通,出租车,True,现金
9cc6c3fb-0184-4926-95db-43469e9b80a0,173.19,2024-03-11,餐饮,早餐,True,支付宝
9696c64e-7edb-47d1-bd1b-4a5f88e74147,73.99,2024-03-11,餐饮,早餐,True,微信
fc79e9ef-eb3a-401f-9e50-f5467e716945,35.25,2024-03-12,娱乐,电影,True,现金
64b1683c-87dc-4cc3-9e5c-84071f32ae51,70.37,2024-03-12,餐饮,早餐,True,支付宝
9b9f6816-a120-43b2-963c-a8a9d2d79892,58.7,2024-03-12,购物,网购,True,信用卡
84ed3247-cfca-4d3f-83d4-990259c9e93b,206.96,2024-03-12,娱乐,电影,True,微信
eb8dc7d5-be33-4977-bb78-c5dd541ca62a,95.19,2024-03-13,交通,出租车,True,现金
c29947fe-ff91-42ff-a3f5-37b2077d8774,2689.65,2024-03-13,收入,工资,False,现金
defcea3a-1a51-4f4f-8b84-fce273210fbb,107.69,2024-03-13,餐饮,早餐,True,支付宝
07fefbf4-9548-41fc-8dee-d6e3698c1513,47.46,2024-03-13,购物,网购,True,支付宝
3e8cb435-102e-42a8-9e8a-c46035e64f1b,74.23,2024-03-14,住房,房租,True,现金
cb0608e6-872e-4ae0-85b5-c88acaf0cd43,71.52,2024-03-14,购物,网购,True,支付宝
3a38f1a3-baf5-4a42-b8bb-fe276ca939a0,104.35,2024-03-14,餐饮,早餐,True,现金
6da26dac-b69b-4eef-93f0-890941434633,108.5,2024-03-14,住房,房租,True,微信
001e2ca6-4bd1-4c13-aca6-929ba0617071,81.93,2024-03-15,餐饮,早餐,True,现金
5c0be24d-ae40-4f43-9e8c-27c8e58546e2,53.29,2024-03-15,住房,房租,True,微信
601b1f00-98a6-44d0-a2c5-2d6ef8543e6f,176.04,2024-03-15,购物,网购,True,信用卡
4f47cffe-3828-4556-bc61-e0808be748a7,272.03,2024-03-15,餐饮,早餐,True,微信
e6a4f98d-0062-4863-9661-a30b8eadf958,111.63,2024-03-16,餐饮,早餐,True,微信
bdb307ce-eeaa-4a01-830f-de9c6942f428,26.27,2024-03-16,购物,网购,True,信用卡
dfcdc593-a2f3-43bc-aafd-c9cbec7ba0f5,23.86,2024-03-16,住房,房租,True,微信
df2639ba-62e1-4238-8201-0f6f2efad87f,103.72,2024-03-16,娱乐,电影,True,支付宝
656e068e-cf12-4e1d-9f63-2078e950f444,45.2,2024-03-17,购物,网购,True,信用卡
d78ba06b-03e7-4eb7-8f79-dfb7bb827905,143.57,2024-03-17,交通,出租车,True,微信
0f2baaf7-c6a0-48e0-b29f-e058ecaa42ab,194.95,2024-03-17,购物,网购,True,现金
57e6a3a3-8942-4563-b901-555f88d31ee1,84.18,2024-03-17,购物,网购,True,微信
58b592a9-3ac0-4d85-8660-a8f7ae0fe0f0,216.78,2024-03-18,交通,出租车,True,微信
9d0f10dc-897a-4a30-af70-e2ee17b198d3,128.97,2024-03-18,交通,出租车,True,微信
361998d0-acab-4168-8239-50751ccff1c4,62.78,2024-03-18,医疗,药品,True,医保卡
0ad5d4f7-0535-40b6-9dcb-03e73aad6a89,57.71,2024-03-18,交通,出租车,True,支付宝
c7fa5bab-7096-40ec-8156-3f4b175bb3e4,151.74,2024-03-18,购物,网购,True,信用卡
a97bbc38-5abe-4bc9-b96f-2bb131b70ad8,39.42,2024-03-19,交通,出租车,True,微信
a45c20ee-a258-4c27-9f3e-f45beff9aff5,33.06,2024-03-19,交通,出租车,True,现金
63b9ce17-a246-4331-9b00-343203cea37e,27.91,2024-03-19,购物,网购,True,现金
fb2f3a2c-8aa5-4495-ac02-c18caefbe7fd,119.54,2024-03-19,交通,出租车,True,微信
b26b0ba9-80f8-4aba-a8cd-216108ed75e8,93.38,2024-03-20,医疗,药品,True,支付宝
d7867383-bfb2-4f02-9239-949daa562524,92.76,2024-03-20,购物,网购,True,信用卡
7d4c5658-cd40-484c-928f-9b99803e6c5b,352.23,2024-03-20,购物,网购,True,信用卡
ef49f3aa-b6db-4f66-9431-2a42fa760aee,267.95,2024-03-20,购物,网购,True,信用卡
fa1fb44d-babd-4ec6-9fac-c2afa2e0ebde,42.78,2024-03-21,交通,出租车,True,现金
054b7303-e4dd-4a27-b57f-186ca52ff14d,243.15,2024-03-21,购物,网购,True,微信
b2859681-e0fb-4d5e-8e8f-0da8e5a4bd23,42.13,2024-03-21,购物,网购,True,信用卡
52887e31-7093-4fef-889c-c513a1ca0164,279.39,2024-03-21,餐饮,早餐,True,支付宝
c82c0e89-61bf-4c2f-b31c-8283d62faeab,137.1,2024-03-22,餐饮,早餐,True,现金
fb640901-723e-4b61-8ad9-a303dc853b3a,9199.79,2024-03-22,收入,工资,False,现金
27102a5f-1620-4e9d-9f65-9145dc91bf4f,83.45,2024-03-22,娱乐,电影,True,现金
94b28d25-2069-4831-a76e-b3170db9b4b2,142.27,2024-03-22,娱乐,电影,True,支付宝
de2c8d7e-edc0-4ff2-96f9-20afc34cbec0,118.42,2024-03-23,餐饮,早餐,True,微信
b2526248-72a4-4d44-8832-6edb940318cb,117.26,2024-03-23,餐饮,早餐,True,现金
71f44791-62b9-4689-bd97-b6524a046671,18.13,2024-03-23,餐饮,早餐,True,支付宝
a32a5688-eb8d-4d20-91f4-33ab023b0966,178.22,2024-03-23,交通,出租车,True,支付宝
e461234f-1bcd-40dd-b695-1247c768db01,108.95,2024-03-24,购物,网购,True,信用卡
28459872-a276-45e9-9564-146fff489db9,126.77,2024-03-24,住房,房租,True,现金
e1cbbf39-d993-4ab6-80e4-eb4db324be7f,47.17,2024-03-24,交通,出租车,True,微信
92a3feb0-1997-40ca-8207-5d12b6389a73,183.09,2024-03-24,住房,房租,True,微信
bd8484dc-5c0a-4488-b17f-8057f4fca622,135.56,2024-03-25,住房,房租,True,微信
3d17b87c-f62d-4dee-9d37-02f356765de4,64.87,2024-03-25,餐饮,早餐,True,现金
aef0dbaf-8211-4474-9acc-277cbc5d1a05,97.06,2024-03-25,餐饮,早餐,True,微信
cd243a64-4b07-4f47-9879-b54141172223,41.43,2024-03-25,住房,房租,True,支付宝
1583c2b2-6cdd-4eee-90a4-d2ef31df64d5,163.45,2024-03-26,购物,网购,True,现金
f5a641e2-8ba6-480f-8570-45236401669e,74.2,2024-03-26,住房,房租,True,支付宝
f3c4602f-e75c-4d4e-9bd4-3caa592fba7f,56.48,2024-03-26,住房,房租,True,银行转账
0ea4700b-b161-4aa7-b288-248fabc4e67e,99.23,2024-03-26,交通,出租车,True,微信
37702cbf-087d-4a51-9d5c-ffbf161ca390,231.31,2024-03-27,交通,出租车,True,微信
0b35b2a9-d270-437b-abe8-b6a8510c4194,6635.31,2024-03-27,收入,工资,False,现金
520e0317-2fd0-47e1-8226-63da876a50ed,80.26,2024-03-27,餐饮,早餐,True,现金
f4a64230-297a-417e-8a97-6c55ed4ecd49,20.52,2024-03-27,医疗,药品,True,微信
7ffaaa59-75e2-481b-842f-8526dcf31e31,39.86,2024-03-27,餐饮,早餐,True,现金
7e16fd1b-d960-494b-afe4-1ad251fb61d7,117.8,2024-03-28,购物,网购,True,微信
d81c9e5e-864c-4e07-872e-57e8cbf79642,86.89,2024-03-28,交通,出租车,True,现金
fd4f6e30-81c5-493a-8993-ec7dd58f68cf,7778.14,2024-03-28,收入,工资,False,现金
23597550-eea7-45af-a568-205fdf519d36,163.58,2024-03-28,餐饮,早餐,True,支付宝
70736227-1f7e-4ed3-a848-70db437d4f73,23.71,2024-03-29,餐饮,早餐,True,微信
76bbb608-225e-4792-b65b-1b8bb2ded6e2,42.81,2024-03-29,住房,房租,True,微信
7c538ced-8573-4492-8f24-147601934b77,23.86,2024-03-29,住房,房租,True,现金
00924329-6b37-4b4c-b211-c7978ad4f243,11662.92,2024-03-29,收入,工资,False,现金
0f3706ce-1e3b-4edb-85d5-b20903953d1d,10358.88,2024-03-30,收入,工资,False,现金
ff991790-0c3b-479c-9673-8b54ccca1886,56.57,2024-03-30,餐饮,早餐,True,支付宝
c9bfe3e2-3093-46a5-bd5f-7e2f4ac80555,98.26,2024-03-30,购物,网购,True,支付宝
ad6723a3-7e85-465c-9e7d-578ac9865ac5,55.81,2024-03-30,购物,网购,True,支付宝
0dddea20-84b4-427c-92e4-0e45a07d0460,47.73,2024-03-31,餐饮,早餐,True,支付宝
f093e04b-6d9d-41ca-bd58-2c0609874836,42.48,2024-03-31,住房,房租,True,支付宝
c6ab857b-3f53-4506-ac32-b06001a350f2,184.99,2024-03-31,住房,房租,True,支付宝
91d1609f-2ba6-4c7e-a389-41bc5fcb28ca,87.77,2024-03-31,交通,出租车,True,微信
2337d79a-fe05-4df3-a874-1a2edcef1ec4,99.33,2024-04-01,住房,房租,True,支付宝
70af0ad3-f5d3-4c4c-ab5c-69f1a0b874f8,146.62,2024-04-01,购物,网购,True,信用卡
2c2aabcf-67bb-4fc1-bc61-18e94eec6a0a,67.47,2024-04-01,交通,出租车,True,微信
b358afaf-da9c-4f82-ada0-1c75568ac8d6,122.84,2024-04-01,交通,出租车,True,微信
668f5d8d-8a1e-45ac-b93c-c820cff3ceee,178.84,2024-04-02,交通,出租车,True,现金
7550c157-982a-4572-9042-0728572b0d6a,20.63,2024-04-02,餐饮,早餐,True,微信
7cbfc572-f0cb-4978-a423-06b3c4e811bc,34.53,2024-04-02,交通,出租车,True,微信
e39ac231-741e-4bab-b7bc-919fdcb2d39c,120.29,2024-04-02,餐饮,早餐,True,支付宝
d948f1f3-7e90-482d-ae68-915793547b66,52.46,2024-04-03,交通,出租车,True,现金
bb96c202-1a9a-4bee-bc94-15b5c3834246,5604.24,2024-04-03,收入,工资,False,现金
7511ecc6-3241-44cd-bb16-36be99ec7843,151.25,2024-04-03,购物,网购,True,信用卡
5d7c0734-ac73-4e17-ad79-ed54896ffae4,49.36,2024-04-03,交通,出租车,True,现金
d04c435a-bdcf-4bf6-b302-fdac48eb74c9,111.93,2024-04-04,住房,房租,True,现金
8147cdcc-e2bf-4e34-a575-c355cbe56b3a,6430.98,2024-04-04,收入,工资,False,现金
98dbff8b-5abf-4fda-b84f-6b6806d46427,38.8,2024-04-04,交通,出租车,True,支付宝
e24a232a-19dc-47c6-ba1d-8aa53f828a77,69.54,2024-04-04,住房,房租,True,微信
e8a04886-9df8-4cc3-b876-0a01a7022036,171.7,2024-04-05,购物,网购,True,现金
